Measured Voltage,ref,ewe,ece
-8.98988240E+00,0,-29411,-29415
-7.99026210E+00,0,-26141,-26144
-6.99059050E+00,0,-22872,-22874
-5.99044090E+00,0,-19600,-19603
-4.99009090E+00,0,-16328,-16330
-3.98978770E+00,0,-13056,-13058
-2.99067210E+00,0,-9788,-9789
-1.99169800E+00,0,-6521,-6522
-9.92077500E-01,0,-3252,-3252
-4.50736160E-01,0,-1481,-1481
+7.24546000E-03,0,18,17
+4.64837020E-01,0,1515,1514
+1.00595780E+00,0,3285,3284
+2.00539840E+00,0,6554,6553
+3.00449210E+00,0,9821,9821
+4.00375460E+00,0,13090,13090
+5.00360290E+00,0,16360,16361
+6.00393650E+00,0,19632,19634
+7.00432540E+00,0,22904,22906
+8.00465420E+00,0,26176,26178
+9.00442920E+00,0,29445,29448
